concentracion  status 
"0.15 ""vivo"""
"0.95 ""muerto"""
"0.15 ""vivo"""
"0.2 ""vivo"""
"0.95 ""muerto"""
"0.15 ""muerto"""
"0.5 ""muerto"""
"0.95 ""muerto"""
"0.7 ""muerto"""
"0.95 ""muerto"""
"0.7 ""muerto"""
"0.7 ""muerto"""
"0.15 ""vivo"""
"0.15 ""vivo"""
"0.95 ""muerto"""
"0.95 ""vivo"""
"0.3 ""vivo"""
"0.3 ""vivo"""
"0.1 ""vivo"""
"0.7 ""muerto"""
"0.5 ""muerto"""
"0.2 ""muerto"""
"0.95 ""muerto"""
"0.1 ""vivo"""
"0.2 ""muerto"""
"0.1 ""vivo"""
"0.1 ""vivo"""
"0.15 ""muerto"""
"0.1 ""vivo"""
"0.15 ""vivo"""
"0.15 ""vivo"""
"0.7 ""muerto"""
"0.2 ""muerto"""
"0.1 ""vivo"""
"0.1 ""vivo"""
"0.1 ""vivo"""
"0.95 ""muerto"""
"0.1 ""vivo"""
"0.5 ""muerto"""
"0.7 ""muerto"""
"0.15 ""vivo"""
"0.2 ""muerto"""
"0.15 ""vivo"""
"0.95 ""muerto"""
"0.2 ""vivo"""
"0.15 ""vivo"""
"0.5 ""muerto"""
"0.5 ""muerto"""
"0.2 ""muerto"""
"0.2 ""vivo"""
"0.3 ""muerto"""
"0.7 ""muerto"""
"0.7 ""muerto"""
"0.3 ""vivo"""
"0.1 ""vivo"""
"0.3 ""muerto"""
"0.15 ""vivo"""
"0.1 ""muerto"""
"0.7 ""muerto"""
"0.1 ""vivo"""
"0.95 ""muerto"""
"0.7 ""muerto"""
"0.2 ""muerto"""
"0.3 ""muerto"""
"0.15 ""vivo"""
"0.7 ""muerto"""
"0.7 ""muerto"""
"0.15 ""vivo"""
"0.2 ""vivo"""
"0.1 ""vivo"""
"0.7 ""muerto"""
"0.95 ""muerto"""
"0.2 ""muerto"""
"0.95 ""muerto"""
"0.3 ""muerto"""
"0.95 ""muerto"""
"0.15 ""vivo"""
"0.3 ""muerto"""
"0.15 ""muerto"""
"0.15 ""vivo"""
"0.1 ""muerto"""
"0.15 ""vivo"""
"0.3 ""muerto"""
"0.3 ""vivo"""
"0.5 ""muerto"""
"0.7 ""muerto"""
"0.95 ""muerto"""
"0.15 ""vivo"""
"0.5 ""muerto"""
"0.3 ""muerto"""
"0.1 ""vivo"""
"0.15 ""vivo"""
"0.7 ""muerto"""
"0.5 ""muerto"""
"0.3 ""muerto"""
"0.7 ""muerto"""
"0.7 ""muerto"""
"0.95 ""muerto"""
"0.3 ""vivo"""
"0.15 ""vivo"""
"0.2 ""vivo"""
"0.15 ""vivo"""
"0.95 ""muerto"""
"0.2 ""muerto"""
"0.5 ""vivo"""
"0.3 ""muerto"""
"0.7 ""muerto"""
"0.5 ""muerto"""
"0.2 ""muerto"""
"0.1 ""vivo"""
"0.5 ""muerto"""
"0.95 ""muerto"""
"0.7 ""muerto"""
"0.3 ""muerto"""
